id_str,created_at,user.id,text
574058231720345600,Sat Mar 07 04:05:22 +0000 2015,16997972,RT @Pac12Networks: Down go the top-seeded Beavers! The Buffs move on to the semifinals! http://t.co/9MryU5zZ15 http://t.co/1gBiYcHGuM
574058511765794816,Sat Mar 07 04:06:29 +0000 2015,2899968477,RT @SInow: The Lady Vols embrace an unfamiliar role in the SEC tournament http://t.co/hx1aGxlNeq http://t.co/0SgsynTwvy
574058548105187328,Sat Mar 07 04:06:38 +0000 2015,145329747,“@Pac12Networks: Down go the top-seeded Beavers! The Buffs move on to the semifinals! http://t.co/CJ2NhkHVBm http://t.co/isMqmTG5oZ” 🏀
574058626253348865,Sat Mar 07 04:06:56 +0000 2015,1365723348,RT @Pac12Networks: Down go the top-seeded Beavers! The Buffs move on to the semifinals! http://t.co/9MryU5zZ15 http://t.co/1gBiYcHGuM
574058776107450368,Sat Mar 07 04:07:32 +0000 2015,1455152108,The Non-Fiction Writers podcast: Talking Bob Stoops' ... #BobStoops #JasonKersey #NonFictionWriters #RyanAber http://t.co/bLmYO6h3ju
574058837805637633,Sat Mar 07 04:07:47 +0000 2015,3022402687,RT @SInow: The Lady Vols embrace an unfamiliar role in the SEC tournament http://t.co/UIRQnSUjkE http://t.co/UwmtABFois
574058976674869248,Sat Mar 07 04:08:20 +0000 2015,19051145,Wow. RT @Pac12Networks: Down go the top-seeded Beavers! The Buffs move on to the semifinals! http://t.co/7Tw2KcVqQh http://t.co/aDyi0QEnDR
574059098632683520,Sat Mar 07 04:08:49 +0000 2015,61872489,RT @Pac12Networks: Down go the top-seeded Beavers! The Buffs move on to the semifinals! http://t.co/9MryU5zZ15 http://t.co/1gBiYcHGuM
574059129423048704,Sat Mar 07 04:08:56 +0000 2015,61872489,RT @thatwasmejpm: “@Pac12Networks: Down go the top-seeded Beavers! The Buffs move on to the semifinals! http://t.co/CJ2NhkHVBm http://t.co/…
574059401390223360,Sat Mar 07 04:10:01 +0000 2015,2544285608,RT @SInow: The Lady Vols embrace an unfamiliar role in the SEC tournament http://t.co/hx1aGxlNeq http://t.co/0SgsynTwvy
574059486031142912,Sat Mar 07 04:10:21 +0000 2015,42983296,RT @thatwasmejpm: “@Pac12Networks: Down go the top-seeded Beavers! The Buffs move on to the semifinals! http://t.co/CJ2NhkHVBm http://t.co/…
574059567459401728,Sat Mar 07 04:10:41 +0000 2015,2566496467,RT @SInow: The Lady Vols embrace an unfamiliar role in the SEC tournament http://t.co/hx1aGxlNeq http://t.co/0SgsynTwvy
574059633930719232,Sat Mar 07 04:10:56 +0000 2015,34377334,"RT @chroniclesports: ""It feels great to help teammates and get yours at the same time.""—Kendall Cooper on her career-bets 21 point effort: …"
574059711345135616,Sat Mar 07 04:11:15 +0000 2015,1164428617,RT @SInow: The Lady Vols embrace an unfamiliar role in the SEC tournament http://t.co/hx1aGxlNeq http://t.co/0SgsynTwvy
574060082239049728,Sat Mar 07 04:12:43 +0000 2015,188718956,Best game of the SEC Womens Basketball tournament
574060177453776896,Sat Mar 07 04:13:06 +0000 2015,118876365,Colorado State women clinch back-to-back MW titles http://t.co/i4BDm9Psyc
